Key,en,fr,reviewed
Eyelash Length,Eyelash Length,Longueur des cils,False
Brows Distance,Brows Distance,Distance des sourcils,False
Brows Height,Brows Height,Hauteur des sourcils,False
Ear Shape 1,Ear Shape 1,Forme d'oreille 1,False
Ear Shape 2,Ear Shape 2,Forme d'oreille 2,False
Hair Bang >< Length,Hair Bang >< Length,Frange >< Longueur,False
Hair Bang >< Shear,Hair Bang >< Shear,Frange >< Angle,False
Hair Bang >> Position,Hair Bang >> Position,Frange Côté >> Position,False
Hair Bang >> Length,Hair Bang >> Length,Frange Côté >> Longueur,False
Hair Bang >> Shear,Hair Bang >> Shear,Frange Côté >> Angle,False
Hair Bang << Position,Hair Bang << Position,Frange Côté << Position,False
Hair Bang << Length,Hair Bang << Length,Frange Côté << Longueur,False
Hair Bang << Shear,Hair Bang << Shear,Frange Côté << Angle,False
Hair Framing << Length,Hair Framing << Length,Mèche Visage Côté << Longueur,False
Hair Framing >> Length,Hair Framing >> Length,Mèche Visage Côté >> Longueur,False
Hair Side Length,Hair Side Length,Cheveux Côtés Longueur,False
Hair Rear Length,Hair Rear Length,Cheveux Arrières Longueur,False
Ahoge Position,Ahoge Position,Ahoge Position,False
Ahoge Angle,Ahoge Angle,Ahoge Angle,False
Animal Ear & Antenna Position,Animal Ear & Antenna Position,Oreilles & Antennes d'Animaux Position,False
Fin & Gill Position,Fin & Gill Position,Nageoires & Branchies Position,False
Halo Position,Halo Position,Halo Position,False
Hat Position,Hat Position,Chapeau Position,False
Horn >> Length,Horn >> Length,Corne >> Longueur,False
Horn << Length,Horn << Length,Corne << Longueur,False
Horn >< Length,Horn >< Length,Corne >< Longueur,False
Horn Position,Horn Position,Cornes Position,False
Ear Wing Position,Ear Wing Position,Aile d'Oreille Position,False
Wing Size,Wing Size,Ailes Taille,False
Wing Position,Wing Position,Aile Position,False
Wing Angle,Wing Angle,Aile Angle,False
Tail Size,Tail Size,Queue Taille,False
Tail Flip,Tail Flip,Queue Retournée,False
Tail Angle,Tail Angle,Queue Angle,False
