Key,en,fr,reviewed
Hair Ahoge,Hair Ahoge,Ahoge,False
Hair Ahoge Outline,Hair Ahoge Outline,Contour Ahoge,False
Animal Ear >>,Animal Ear >>,Oreille d'Animal >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Oreille d'Animal >> Fourrure,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Oreille d'Animal >> Contour Fourrure,False
Animal Ear >> Outline,Animal Ear >> Outline,Oreille d'Animal >> Contour,False
Animal Ear <<,Animal Ear <<,Oreille d'Animal <<,False
Animal Ear << Fur,Animal Ear << Fur,Oreille d'Animal << Fourrure,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Oreille d'Animal << Contour de Fourrure,False
Animal Ear << Outline,Animal Ear << Outline,Oreille d'Animal << Contour,False
Antenna >>,Antenna >>,Antenne >>,False
Antenna >> Outline,Antenna >> Outline,Contour Antenne >>,False
Antenna <<,Antenna <<,Antenne <<,False
Antenna << Outline,Antenna << Outline,Contour Antenne <<,False
Hair Rear,Hair Rear,Cheveux Arrières,False
Hair Rear Outline,Hair Rear Outline,Contour Cheveux Arrières,False
Beverage Cup,Beverage Cup,Tasse,False
Beverage Liquid,Beverage Liquid,Boisson Liquide,False
Beverage Liquid 2,Beverage Liquid 2,Boisson Liquide 2,False
Bill,Bill,Facture,False
Blanket Inner,Blanket Inner,Couverture Interieur,False
Blanket Outter,Blanket Outter,Couverture Exterieur,False
Face Blush,Face Blush,Fard à Joues,False
Brow >>,Brow >>,Sourcil >>,False
Brow <<,Brow <<,Sourcil <<,False
Chopstick,Chopstick,Baguettes,False
Crowbar,Crowbar,Pied de Biche,False
Cup,Cup,Gobelet,False
Cup Steam,Cup Steam,Vapeur Tasse,False
Door/Wall,Door/Wall,Porte/Mur,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Oeil (Teuteu) Pupille >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Oeil (Teuteu) Pupille <<,False
Eyebag,Eyebag,Cernes,False
Eye Iris Dark >>,Eye Iris Dark >>,Œil Foncé >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Œil Foncé <<,False
Eye Dollar,Eye Dollar,Yeux Dollars,False
Eye Heart,Eye Heart,Yeux Coeurs,False
Eye Highlight,Eye Highlight,Œil Lumière,False
Eyelashes,Eyelashes,Cils,False
Eye Iris Light >>,Eye Iris Light >>,Œil Clair >>,False
Eye Iris Light <<,Eye Iris Light <<,Œil Clair <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Contour de l'Œil (Teuteu),False
Eye Sparkling,Eye Sparkling,Yeux en Étoiles,False
Eye Spiral,Eye Spiral,Yeux en Spirales,False
Eye White,Eye White,Blanc de l'Œil,False
Face Shadow,Face Shadow,Ombre du Visage,False
Fin >>,Fin >>,Nageoires >>,False
Fin >> Outline,Fin >> Outline,Contour Nageoires >>,False
