Key;en;ru;reviewed
Alert Bits;Alert Bits;"Уведомление ""Twitch Bits""";ЛОЖЬ
Alert Donation;Alert Donation;"Уведомление ""Донат""";ЛОЖЬ
Alert Heart;Alert Heart;"Уведомление ""Сердце""";ЛОЖЬ
Alert Like;Alert Like;"Уведомление ""Нравится""";ЛОЖЬ
Alert Star;Alert Star;"Уведомление ""Звезда""";ЛОЖЬ
Angry;Angry;Злой;ЛОЖЬ
Arrive;Arrive;Подбежать;ЛОЖЬ
Arrive (with Chopstick);Arrive (with Chopstick);Подбежать (с палочками для еды);ЛОЖЬ
Arrive (with Spoon);Arrive (with Spoon);Подбежать (с ложкой);ЛОЖЬ
Bonk;Bonk;Боньк;ЛОЖЬ
Copium;Copium;Копиум;ЛОЖЬ
Crowbar 1;Crowbar 1;Лом 1;ЛОЖЬ
Crowbar 2;Crowbar 2;Лом 2;ЛОЖЬ
Crowbar 3;Crowbar 3;Лом 3;ЛОЖЬ
Cry 1;Cry 1;Плач 1;ЛОЖЬ
Cry 2;Cry 2;Плач 2;ЛОЖЬ
Cry 3;Cry 3;Плач 3;ЛОЖЬ
Dead;Dead;Умер;ЛОЖЬ
Dizzy;Dizzy;Вскружило голову;ЛОЖЬ
Drink (Beverage Cup);Drink (Beverage Cup);Пить (Стаканчик с напитком);ЛОЖЬ
Drive;Drive;Водить машину;ЛОЖЬ
Drooling (Chopstick);Drooling (Chopstick);Слюни (Палочки для еды);ЛОЖЬ
Drooling (Fork&Knife);Drooling (Fork&Knife);Слюни (Вилка и нож);ЛОЖЬ
Dum 1;Dum 1;Глупик 1;ЛОЖЬ
Dum 2;Dum 2;Глупик 2;ЛОЖЬ
Dum 3;Dum 3;Глупик 3;ЛОЖЬ
Dum Sticker 1;Dum Sticker 1;Глупик со стикером 1;ЛОЖЬ
Dum Sticker 2;Dum Sticker 2;Глупик со стикером 2;ЛОЖЬ
Dum Sticker 3;Dum Sticker 3;Глупик со стикером 3;ЛОЖЬ
Exclamation;Exclamation;"Удивление ""!!""";ЛОЖЬ
Jail 1;Jail 1;Тюрьма 1;ЛОЖЬ
Jail 2;Jail 2;Тюрьма 2;ЛОЖЬ
Knife 1;Knife 1;Нож 1;ЛОЖЬ
Knife 2;Knife 2;Нож 2;ЛОЖЬ
Laugh;Laugh;Смех;ЛОЖЬ
Lick;Lick;Лизь языком;ЛОЖЬ
Lightstick 1;Lightstick 1;Лайтстик 1;ЛОЖЬ
Lightstick 2;Lightstick 2;Лайтстик 2;ЛОЖЬ
Lurk 1;Lurk 1;Подглядывать 1;ЛОЖЬ
Lurk 2;Lurk 2;Подглядывать 2;ЛОЖЬ
Luv 1;Luv 1;Любовь 1;ЛОЖЬ
Luv 2;Luv 2;Любовь 2;ЛОЖЬ
Luv 3;Luv 3;Любовь 3;ЛОЖЬ
Money;Money;Деньги;ЛОЖЬ
Mute 1;Mute 1;Беззвучный 1;ЛОЖЬ
Mute 2;Mute 2;Беззвучный 2;ЛОЖЬ
Nervous 1;Nervous 1;Нервный 1;ЛОЖЬ
Nervous 2;Nervous 2;Нервный 2;ЛОЖЬ
Noted 1;Noted 1;Записано 1;ЛОЖЬ
Noted 2;Noted 2;Записано 2;ЛОЖЬ
Pat;Pat;Гладь по голове;ЛОЖЬ
Point;Point;Обвинение;ЛОЖЬ
Question;Question;Возник вопрос;ЛОЖЬ
Raid 1;Raid 1;Рейд 1;ЛОЖЬ
Raid 2;Raid 2;Рейд 2;ЛОЖЬ
RedPacket 1;RedPacket 1;Конверт 1;ЛОЖЬ
RedPacket 2;RedPacket 2;Конверт 2;ЛОЖЬ
Rose;Rose;Роза;ЛОЖЬ
Score (0 Point);Score (0 Point);Оценка (0 очков);ЛОЖЬ
Score (10 Point);Score (10 Point);Оценка (10 баллов);ЛОЖЬ
Shy 1;Shy 1;Смущение 1;ЛОЖЬ
Shy 2;Shy 2;Смущение 2;ЛОЖЬ
Sleep (Normal);Sleep (Normal);Сон (нормальный);ЛОЖЬ
Sleep (Preparing Stage 1);Sleep (Preparing Stage 1);Сон (подготовка ко сну 1);ЛОЖЬ
Sleep (Preparing Stage 2);Sleep (Preparing Stage 2);Сон (подготовка ко сну 2);ЛОЖЬ
Sleep (UU);Sleep (UU);Сон (UwU);ЛОЖЬ
Sparkling;Sparkling;Восхищение;ЛОЖЬ
Surprise;Surprise;Сюрприз;ЛОЖЬ
Sweat;Sweat;Потливость;ЛОЖЬ
Thumb Down;Thumb Down;Большой палец вниз;ЛОЖЬ
Thumb Up;Thumb Up;Большой палец вверх;ЛОЖЬ
Type Angry;Type Angry;Злое печатание;ЛОЖЬ
Type Annoyed;Type Annoyed;Раздраженное печатание;ЛОЖЬ
Type Normal;Type Normal;Печатание нормальное;ЛОЖЬ
Work Angry;Work Angry;Злой на работе;ЛОЖЬ
Work Nap;Work Nap;Уснул на работе;ЛОЖЬ
Work Normal;Work Normal;Работает обычно;ЛОЖЬ
Work Tired;Work Tired;Усталость от работы;ЛОЖЬ
Bell;Bell;Колокольчик;ЛОЖЬ
Cake;Cake;Торт;ЛОЖЬ
Caught in 4K (Phone);Caught in 4K (Phone);Снимает в 4K (телефон);ЛОЖЬ
Caught in 4K (Video Camera);Caught in 4K (Video Camera);Снимает в 4K (видеокамера);ЛОЖЬ
Celebration;Celebration;Празднование;ЛОЖЬ
Head Nod;Head Nod;Кивок головой;ЛОЖЬ
Head Shake;Head Shake;Покачивание головой;ЛОЖЬ
Hypnosis;Hypnosis;Гипноз;ЛОЖЬ
Laugh (Point);Laugh (Point);Смех (Обвинение);ЛОЖЬ
Love Letter;Love Letter;Любовное письмо;ЛОЖЬ
Need Food;Need Food;Нуждаюсь в еде;ЛОЖЬ
PNGTuber Idle;PNGTuber Idle;PNG-tuber в покое;ЛОЖЬ
PNGTuber Idle 2;PNGTuber Idle 2;PNG-tuber в покое 2;ЛОЖЬ
PNGTuber Talk;PNGTuber Talk;PNG-tuber говорит;ЛОЖЬ
PNGTuber Talk 2;PNGTuber Talk 2;PNG-tuber говорит 2;ЛОЖЬ
PNGTuber Yap;PNGTuber Yap;PNG-tuber тявканье;ЛОЖЬ
Popcat Frame;Popcat Frame;Попкэт по кадрам;ЛОЖЬ
Popcat Smooth;Popcat Smooth;Попкэт плавный;ЛОЖЬ
Sing;Sing;Пение;ЛОЖЬ
Tablet;Tablet;Графический планшет;ЛОЖЬ
Tail Wag;Tail Wag;Виляние хвостом;ЛОЖЬ
