Key;en;ru;reviewed
Brows;Brows;Брови;ЛОЖЬ
Ear;Ear;Ухо;ЛОЖЬ
Eye;Eye;Глаз;ЛОЖЬ
Base Hair;Base Hair;Базовые волосы;ЛОЖЬ
Hair Bang >>;Hair Bang >>;Челка >>;ЛОЖЬ
Hair Bang ><;Hair Bang ><;Челка для волос ><;ЛОЖЬ
Hair Bang <<;Hair Bang <<;Челка для волос <<;ЛОЖЬ
Hair Shine;Hair Shine;Сияние волос;ЛОЖЬ
Hair Branch >>;Hair Branch >>;Прядь волос >>;ЛОЖЬ
Hair Branch <<;Hair Branch <<;Прядь волос <<;ЛОЖЬ
Hair Framing >>;Hair Framing >>;Локоны волос >>;ЛОЖЬ
Hair Framing <<;Hair Framing <<;Локоны волос <<;ЛОЖЬ
Hair Framing;Hair Framing;Локоны волос;ЛОЖЬ
Hair Highlight 1 >>;Hair Highlight 1 >>;Торчащий волос 1 >>;ЛОЖЬ
Hair Highlight 2 >>;Hair Highlight 2 >>;Торчащий волос 2 >>;ЛОЖЬ
Hair Highlight 3 >>;Hair Highlight 3 >>;Торчащий волос 3 >>;ЛОЖЬ
Hair Highlight 1 ><;Hair Highlight 1 ><;Торчащий волос 1 ><;ЛОЖЬ
Hair Highlight 2 ><;Hair Highlight 2 ><;Торчащий волос 2 ><;ЛОЖЬ
Hair Highlight 3 ><;Hair Highlight 3 ><;Торчащий волос 3 ><;ЛОЖЬ
Hair Highlight 4 ><;Hair Highlight 4 ><;Торчащий волос 4 ><;ЛОЖЬ
Hair Highlight 5 ><;Hair Highlight 5 ><;Торчащий волос 5 ><;ЛОЖЬ
Hair Highlight 6 ><;Hair Highlight 6 ><;Торчаний волос 6 ><;ЛОЖЬ
Hair Highlight 1 <<;Hair Highlight 1 <<;Торчаний волос  1 <<;ЛОЖЬ
Hair Highlight 2 <<;Hair Highlight 2 <<;Торчаний волос  2 <<;ЛОЖЬ
Hair Highlight 3 <<;Hair Highlight 3 <<;Торчаний волос 3 <<;ЛОЖЬ
Hair Side;Hair Side;Боковые волосы;ЛОЖЬ
Hair Ahoge;Hair Ahoge;Ахоге волос;ЛОЖЬ
Hair Rear;Hair Rear;Задние волосы;ЛОЖЬ
Hair Pigtail >>;Hair Pigtail >>;Хвостики >>;ЛОЖЬ
Hair Pigtail <<;Hair Pigtail <<;Хвостики <<;ЛОЖЬ
Animal Ear;Animal Ear;Звериные уши;ЛОЖЬ
Antenna;Antenna;Антенна;ЛОЖЬ
Fin;Fin;Плавники;ЛОЖЬ
Gill;Gill;Жабры аксолотля;ЛОЖЬ
Glasses;Glasses;Очки;ЛОЖЬ
Hairband A;Hairband A;Банты А;ЛОЖЬ
Hairband B;Hairband B;Повязки на голову Б;ЛОЖЬ
Hairband C;Hairband C;Ободок С;ЛОЖЬ
Hairband D;Hairband D;Бант сзади D;ЛОЖЬ
Hair Clip >>;Hair Clip >>;Заколка >>;ЛОЖЬ
Hair Clip <<;Hair Clip <<;Заколка <<;ЛОЖЬ
Halo;Halo;Нимб;ЛОЖЬ
Hat;Hat;Шляпа;ЛОЖЬ
Ear Wing;Ear Wing;Крыло-ухо;ЛОЖЬ
Horn;Horn;Рог;ЛОЖЬ
Horn Front ><;Horn Front ><;Рога спереди ><;ЛОЖЬ
Horn Front;Horn Front;Рога спереди;ЛОЖЬ
Mecha;Mecha;Меха;ЛОЖЬ
Outfit Collar Inner;Outfit Collar Inner;Воротник одежды;ЛОЖЬ
Outfit Inner;Outfit Inner;Плечевая одежда;ЛОЖЬ
Outfit Outer;Outfit Outer;Верхняя одежда;ЛОЖЬ
Outfit Neckwear A;Outfit Neckwear A;Галстук А;ЛОЖЬ
Outfit Neckwear B;Outfit Neckwear B;Галстук Б;ЛОЖЬ
Outfit Neckwear C;Outfit Neckwear C;Галстук C;ЛОЖЬ
Hair Side Branch >> A;Hair Side Branch >> A;Боковая прядь волос >> A;ЛОЖЬ
Hair Side Branch >> B;Hair Side Branch >> B;Боковая прядь волос >> B;ЛОЖЬ
Hair Side Branch >> C;Hair Side Branch >> C;Боковая прядь волос >> C;ЛОЖЬ
Hair Side Branch << A;Hair Side Branch << A;Боковая прядь волос << A;ЛОЖЬ
Hair Side Branch << B;Hair Side Branch << B;Боковая прядь волос << B;ЛОЖЬ
Hair Side Branch << C;Hair Side Branch << C;Боковая прядь волос << C;ЛОЖЬ
Tail;Tail;Хвост;ЛОЖЬ
Wing;Wing;Крыло;ЛОЖЬ
