Key;en;ru;reviewed
Hair Ahoge;Hair Ahoge;Волосы Ахоге;ЛОЖЬ
Hair Ahoge Outline;Hair Ahoge Outline;Волосы Ахоге Контур;ЛОЖЬ
Animal Ear >>;Animal Ear >>;Звериные уши >>;ЛОЖЬ
Animal Ear >> Fur;Animal Ear >> Fur;Звериные уши (Мех) >>;ЛОЖЬ
Animal Ear >> Fur Outline;Animal Ear >> Fur Outline;Звериные уши (Мех) >> Контур;ЛОЖЬ
Animal Ear >> Outline;Animal Ear >> Outline;Звериные уши >> Контур;ЛОЖЬ
Animal Ear <<;Animal Ear <<;Звериные уши <<;ЛОЖЬ
Animal Ear << Fur;Animal Ear << Fur;Звериные уши (Мех) <<;ЛОЖЬ
Animal Ear << Fur Outline;Animal Ear << Fur Outline;Звериные уши (Мех) << Контур;ЛОЖЬ
Animal Ear << Outline;Animal Ear << Outline;Звериные уши << Контур;ЛОЖЬ
Antenna >>;Antenna >>;Антенна >>;ЛОЖЬ
Antenna >> Outline;Antenna >> Outline;Антенна >> Контур;ЛОЖЬ
Antenna <<;Antenna <<;Антенна <<;ЛОЖЬ
Antenna << Outline;Antenna << Outline;Антенна << Контур;ЛОЖЬ
Hair Rear;Hair Rear;Задние волосы;ЛОЖЬ
Hair Rear Outline;Hair Rear Outline;Задние волосы - Контур;ЛОЖЬ
Beverage Cup;Beverage Cup;Стаканчик;ЛОЖЬ
Beverage Liquid;Beverage Liquid;Жидкость в стаканчике;ЛОЖЬ
Beverage Liquid 2;Beverage Liquid 2;Жидкость в стаканчике 2;ЛОЖЬ
Bill;Bill;Деньги;ЛОЖЬ
Blanket Inner;Blanket Inner;Одеяло ;ЛОЖЬ
Blanket Outter;Blanket Outter;Плед поверх одеяла;ЛОЖЬ
Face Blush;Face Blush;Румянец;ЛОЖЬ
Brow >>;Brow >>;Бровь >>;ЛОЖЬ
Brow <<;Brow <<;Бровь <<;ЛОЖЬ
Chopstick;Chopstick;Палочки для еды;ЛОЖЬ
Crowbar;Crowbar;Лом;ЛОЖЬ
Cup;Cup;Чашка;ЛОЖЬ
Cup Steam;Cup Steam;Пар из чашки;ЛОЖЬ
Door/Wall;Door/Wall;Дверь/Стена;ЛОЖЬ
